STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
GA|13|00184|02403056|Abbeville city|INCORPORATED PLACE|C1|A|Wilcox County
GA|13|00408|02403059|Acworth city|INCORPORATED PLACE|C1|A|Cobb County
GA|13|00436|02403060|Adairsville city|INCORPORATED PLACE|C1|A|Bartow County
GA|13|00576|02403064|Adel city|INCORPORATED PLACE|C1|A|Cook County
GA|13|00660|02403066|Adrian city|INCORPORATED PLACE|C1|A|Emanuel County~~~Johnson County
GA|13|00828|02403068|Ailey city|INCORPORATED PLACE|C1|A|Montgomery County
GA|13|00996|02405127|Alamo town|INCORPORATED PLACE|C1|A|Wheeler County
GA|13|01024|02405128|Alapaha town|INCORPORATED PLACE|C1|A|Berrien County
GA|13|01052|02403072|Albany city|INCORPORATED PLACE|C1|A|Dougherty County
GA|13|01248|02405129|Aldora town|INCORPORATED PLACE|C1|A|Lamar County
GA|13|01472|02403083|Allenhurst city|INCORPORATED PLACE|C1|A|Liberty County
GA|13|01500|02403085|Allentown city|INCORPORATED PLACE|C1|A|Bleckley County~~~Laurens County~~~Twiggs County~~~Wilkinson County
GA|13|01612|02403087|Alma city|INCORPORATED PLACE|C1|A|Bacon County
GA|13|01696|02403088|Alpharetta city|INCORPORATED PLACE|C1|A|Fulton County
GA|13|01808|02405142|Alston town|INCORPORATED PLACE|C1|A|Montgomery County
GA|13|01948|02405145|Alto town|INCORPORATED PLACE|C1|A|Banks County~~~Habersham County
GA|13|02060|02403092|Ambrose city|INCORPORATED PLACE|C1|A|Coffee County
GA|13|02116|02403093|Americus city|INCORPORATED PLACE|C1|A|Sumter County
GA|13|02256|02403099|Andersonville city|INCORPORATED PLACE|C1|A|Sumter County
GA|13|02364|02813337|Antioch CDP|CENSUS DESIGNATED PLACE|U1|S|Harris County
GA|13|02536|02746617|Appling CDP|CENSUS DESIGNATED PLACE|U1|S|Columbia County
GA|13|02564|02405158|Arabi town|INCORPORATED PLACE|C1|A|Crisp County
GA|13|02592|02403105|Aragon city|INCORPORATED PLACE|C1|A|Polk County
GA|13|02648|02403106|Arcade city|INCORPORATED PLACE|C1|A|Jackson County
GA|13|02844|02405165|Argyle town|INCORPORATED PLACE|C1|A|Clinch County
GA|13|02928|02403114|Arlington city|INCORPORATED PLACE|C1|A|Calhoun County~~~Early County
GA|13|03124|02403115|Arnoldsville city|INCORPORATED PLACE|C1|A|Oglethorpe County
GA|13|03236|02403117|Ashburn city|INCORPORATED PLACE|C1|A|Turner County
GA|13|03440|02407405|Athens-Clarke County unified government (balance)|INCORPORATED PLACE|C8|F|Clarke County
GA|13|04000|02403126|Atlanta city|INCORPORATED PLACE|C1|A|DeKalb County~~~Fulton County
GA|13|04084|02403131|Attapulgus city|INCORPORATED PLACE|C1|A|Decatur County
GA|13|04140|02403134|Auburn city|INCORPORATED PLACE|C1|A|Barrow County~~~Gwinnett County
GA|13|04204|02405078|Augusta-Richmond County consolidated government (balance)|INCORPORATED PLACE|C8|F|Richmond County
GA|13|04252|02403139|Austell city|INCORPORATED PLACE|C1|A|Cobb County~~~Douglas County
GA|13|04392|02405189|Avalon town|INCORPORATED PLACE|C1|A|Stephens County
GA|13|04448|02403142|Avera city|INCORPORATED PLACE|C1|A|Jefferson County
GA|13|04644|02403144|Avondale Estates city|INCORPORATED PLACE|C1|A|DeKalb County
GA|13|04700|02812665|Axson CDP|CENSUS DESIGNATED PLACE|U1|S|Atkinson County
GA|13|04840|02403145|Baconton city|INCORPORATED PLACE|C1|A|Mitchell County
GA|13|04896|02403146|Bainbridge city|INCORPORATED PLACE|C1|A|Decatur County
GA|13|04980|02403149|Baldwin city|INCORPORATED PLACE|C1|A|Banks County~~~Habersham County
GA|13|05036|02403151|Ball Ground city|INCORPORATED PLACE|C1|A|Cherokee County
GA|13|05344|02403160|Barnesville city|INCORPORATED PLACE|C1|A|Lamar County
GA|13|05680|02405209|Bartow town|INCORPORATED PLACE|C1|A|Jefferson County
GA|13|05708|02403817|Barwick city|INCORPORATED PLACE|C1|A|Brooks County~~~Thomas County
GA|13|06016|02403822|Baxley city|INCORPORATED PLACE|C1|A|Appling County
GA|13|06688|02403849|Bellville city|INCORPORATED PLACE|C1|A|Evans County
GA|13|06884|02402682|Belvedere Park CDP|CENSUS DESIGNATED PLACE|U1|S|DeKalb County
GA|13|06968|02812690|Bemiss CDP|CENSUS DESIGNATED PLACE|U1|S|Lowndes County
GA|13|07248|02403859|Berkeley Lake city|INCORPORATED PLACE|C1|A|Gwinnett County
GA|13|07304|02403860|Berlin city|INCORPORATED PLACE|C1|A|Colquitt County
GA|13|07380|02806017|Berry College CDP|CENSUS DESIGNATED PLACE|U1|S|Floyd County
GA|13|07612|02405255|Bethlehem town|INCORPORATED PLACE|C1|A|Barrow County
GA|13|07640|02405257|Between town|INCORPORATED PLACE|C1|A|Walton County
GA|13|08200|02405269|Bishop town|INCORPORATED PLACE|C1|A|Oconee County
GA|13|08284|02403872|Blackshear city|INCORPORATED PLACE|C1|A|Pierce County
GA|13|08480|02403875|Blairsville city|INCORPORATED PLACE|C1|A|Union County
GA|13|08536|02403876|Blakely city|INCORPORATED PLACE|C1|A|Early County
GA|13|08844|02403880|Bloomingdale city|INCORPORATED PLACE|C1|A|Chatham County
GA|13|08928|02403882|Blue Ridge city|INCORPORATED PLACE|C1|A|Fannin County
GA|13|08956|02405289|Bluffton town|INCORPORATED PLACE|C1|A|Clay County
GA|13|09040|02405290|Blythe city|INCORPORATED PLACE|C1|A|Burke County~~~Richmond County
GA|13|09068|02405294|Bogart town|INCORPORATED PLACE|C1|A|Clarke County~~~Oconee County
GA|13|09152|02812694|Bolingbroke CDP|CENSUS DESIGNATED PLACE|U1|S|Monroe County
GA|13|09272|02402702|Bonanza CDP|CENSUS DESIGNATED PLACE|U1|S|Clayton County
GA|13|09460|02403900|Boston city|INCORPORATED PLACE|C1|A|Thomas County
GA|13|09488|02403901|Bostwick city|INCORPORATED PLACE|C1|A|Morgan County
GA|13|09544|02403902|Bowdon city|INCORPORATED PLACE|C1|A|Carroll County
GA|13|09656|02405306|Bowersville town|INCORPORATED PLACE|C1|A|Hart County
GA|13|09712|02403905|Bowman city|INCORPORATED PLACE|C1|A|Elbert County
GA|13|09768|02812700|Box Springs CDP|CENSUS DESIGNATED PLACE|U1|S|Talbot County
GA|13|09852|02587025|Boykin CDP|CENSUS DESIGNATED PLACE|U1|S|Miller County
GA|13|10076|02405316|Braselton town|INCORPORATED PLACE|C1|A|Barrow County~~~Gwinnett County~~~Hall County~~~Jackson County
GA|13|10104|02405317|Braswell town|INCORPORATED PLACE|C1|A|Paulding County~~~Polk County
GA|13|10132|02403917|Bremen city|INCORPORATED PLACE|C1|A|Carroll County~~~Haralson County
GA|13|10608|02405322|Brinson town|INCORPORATED PLACE|C1|A|Decatur County
GA|13|10664|02812699|Bristol CDP|CENSUS DESIGNATED PLACE|U1|S|Pierce County
GA|13|10860|02405326|Bronwood town|INCORPORATED PLACE|C1|A|Terrell County
GA|13|10944|02746306|Brookhaven city|INCORPORATED PLACE|C1|A|DeKalb County
GA|13|11000|02403934|Brooklet city|INCORPORATED PLACE|C1|A|Bulloch County
GA|13|11056|02405330|Brooks town|INCORPORATED PLACE|C1|A|Fayette County
GA|13|11504|02403942|Broxton city|INCORPORATED PLACE|C1|A|Coffee County
GA|13|11560|02403944|Brunswick city|INCORPORATED PLACE|C1|A|Glynn County
GA|13|11616|02403946|Buchanan city|INCORPORATED PLACE|C1|A|Haralson County
GA|13|11626|02806014|Buckhead CDP|CENSUS DESIGNATED PLACE|U1|S|Bryan County
GA|13|11672|02405340|Buckhead town|INCORPORATED PLACE|C1|A|Morgan County
GA|13|11728|02403949|Buena Vista city|INCORPORATED PLACE|C1|A|Marion County
GA|13|11784|02403950|Buford city|INCORPORATED PLACE|C1|A|Gwinnett County~~~Hall County
GA|13|12120|02403960|Butler city|INCORPORATED PLACE|C1|A|Taylor County
GA|13|12232|02405354|Byromville town|INCORPORATED PLACE|C1|A|Dooly County
GA|13|12260|02403961|Byron city|INCORPORATED PLACE|C1|A|Peach County
GA|13|12344|02405356|Cadwell town|INCORPORATED PLACE|C1|A|Laurens County
GA|13|12400|02403964|Cairo city|INCORPORATED PLACE|C1|A|Grady County
GA|13|12456|02403967|Calhoun city|INCORPORATED PLACE|C1|A|Gordon County
GA|13|12484|02587026|Calvary CDP|CENSUS DESIGNATED PLACE|U1|S|Grady County
GA|13|12512|02405367|Camak town|INCORPORATED PLACE|C1|A|Warren County
GA|13|12624|02403979|Camilla city|INCORPORATED PLACE|C1|A|Mitchell County
GA|13|12834|02402746|Candler-McAfee CDP|CENSUS DESIGNATED PLACE|U2|S|DeKalb County
GA|13|12932|02403986|Canon city|INCORPORATED PLACE|C1|A|Franklin County~~~Hart County
GA|13|12960|02587027|Canoochee CDP|CENSUS DESIGNATED PLACE|U1|S|Emanuel County
GA|13|12988|02403987|Canton city|INCORPORATED PLACE|C1|A|Cherokee County
GA|13|13184|02405378|Carl town|INCORPORATED PLACE|C1|A|Barrow County
GA|13|13212|02403996|Carlton city|INCORPORATED PLACE|C1|A|Madison County
GA|13|13352|02403997|Carnesville city|INCORPORATED PLACE|C1|A|Franklin County
GA|13|13492|02404000|Carrollton city|INCORPORATED PLACE|C1|A|Carroll County
GA|13|13688|02404002|Cartersville city|INCORPORATED PLACE|C1|A|Bartow County
GA|13|14024|02812684|Cataula CDP|CENSUS DESIGNATED PLACE|U1|S|Harris County
GA|13|14108|02404009|Cave Spring city|INCORPORATED PLACE|C1|A|Floyd County
GA|13|14192|02404012|Cecil city|INCORPORATED PLACE|C1|A|Cook County
GA|13|14472|02587028|Cedar Springs CDP|CENSUS DESIGNATED PLACE|U1|S|Early County
GA|13|14500|02404015|Cedartown city|INCORPORATED PLACE|C1|A|Polk County
GA|13|14920|02404023|Centerville city|INCORPORATED PLACE|C1|A|Houston County
GA|13|15026|02406249|Centralhatchee town|INCORPORATED PLACE|C1|A|Heard County
GA|13|15172|02404027|Chamblee city|INCORPORATED PLACE|C1|A|DeKalb County
GA|13|15508|02404033|Chatsworth city|INCORPORATED PLACE|C1|A|Murray County
GA|13|15552|02424930|Chattahoochee Hills city|INCORPORATED PLACE|C1|A|Coweta County~~~Fulton County
GA|13|15585|02402766|Chattanooga Valley CDP|CENSUS DESIGNATED PLACE|U1|S|Walker County
GA|13|15648|02404036|Chauncey city|INCORPORATED PLACE|C1|A|Dodge County
GA|13|15844|02587029|Cherry Log CDP|CENSUS DESIGNATED PLACE|U1|S|Gilmer County
GA|13|15900|02406264|Chester town|INCORPORATED PLACE|C1|A|Dodge County
GA|13|15984|02404044|Chickamauga city|INCORPORATED PLACE|C1|A|Walker County
GA|13|16460|02404056|Clarkesville city|INCORPORATED PLACE|C1|A|Habersham County
GA|13|16544|02404059|Clarkston city|INCORPORATED PLACE|C1|A|DeKalb County
GA|13|16600|02404062|Claxton city|INCORPORATED PLACE|C1|A|Evans County
GA|13|16656|02404066|Clayton city|INCORPORATED PLACE|C1|A|Rabun County
GA|13|16796|02406277|Clermont town|INCORPORATED PLACE|C1|A|Hall County
GA|13|16824|02404071|Cleveland city|INCORPORATED PLACE|C1|A|White County
GA|13|16908|02404075|Climax city|INCORPORATED PLACE|C1|A|Decatur County
GA|13|17132|02812689|Clyattville CDP|CENSUS DESIGNATED PLACE|U1|S|Lowndes County
GA|13|17272|02404087|Cobbtown city|INCORPORATED PLACE|C1|A|Tattnall County
GA|13|17328|02404088|Cochran city|INCORPORATED PLACE|C1|A|Bleckley County
GA|13|17468|02812673|Cogdell CDP|CENSUS DESIGNATED PLACE|U1|S|Clinch County
GA|13|17496|02404092|Cohutta city|INCORPORATED PLACE|C1|A|Whitfield County
GA|13|17552|02404093|Colbert city|INCORPORATED PLACE|C1|A|Madison County
GA|13|17580|02629784|Coleman CDP|CENSUS DESIGNATED PLACE|U1|S|Randolph County
GA|13|17776|02404098|College Park city|INCORPORATED PLACE|C1|A|Clayton County~~~Fulton County
GA|13|17832|02404100|Collins city|INCORPORATED PLACE|C1|A|Tattnall County
GA|13|18000|02404103|Colquitt city|INCORPORATED PLACE|C1|A|Miller County
GA|13|19000|02404111|Columbus city|INCORPORATED PLACE|C1|A|Muscogee County
GA|13|19084|02404113|Comer city|INCORPORATED PLACE|C1|A|Madison County
GA|13|19112|02404114|Commerce city|INCORPORATED PLACE|C1|A|Jackson County
GA|13|19168|02404116|Concord city|INCORPORATED PLACE|C1|A|Pike County
GA|13|19280|02402794|Conley CDP|CENSUS DESIGNATED PLACE|U1|S|Clayton County
GA|13|19336|02404121|Conyers city|INCORPORATED PLACE|C1|A|Rockdale County
GA|13|19392|02404123|Coolidge city|INCORPORATED PLACE|C1|A|Thomas County
GA|13|19616|02404129|Cordele city|INCORPORATED PLACE|C1|A|Crisp County
GA|13|19728|02404133|Cornelia city|INCORPORATED PLACE|C1|A|Habersham County
GA|13|19830|02402800|Country Club Estates CDP|CENSUS DESIGNATED PLACE|U1|S|Glynn County
GA|13|20064|02404140|Covington city|INCORPORATED PLACE|C1|A|Newton County
GA|13|20288|02404145|Crawford city|INCORPORATED PLACE|C1|A|Oglethorpe County
GA|13|20316|02404146|Crawfordville city|INCORPORATED PLACE|C1|A|Taliaferro County
GA|13|20372|02812692|Crescent CDP|CENSUS DESIGNATED PLACE|U1|S|McIntosh County
GA|13|20550|02587031|Crooked Creek CDP|CENSUS DESIGNATED PLACE|U1|S|Putnam County
GA|13|20848|02404167|Culloden city|INCORPORATED PLACE|C1|A|Monroe County
GA|13|20932|02404169|Cumming city|INCORPORATED PLACE|C1|A|Forsyth County
GA|13|21017|02405079|Cusseta-Chattahoochee County unified government|INCORPORATED PLACE|C1|A|Chattahoochee County
GA|13|21072|02404171|Cuthbert city|INCORPORATED PLACE|C1|A|Randolph County
GA|13|21184|02404173|Dacula city|INCORPORATED PLACE|C1|A|Gwinnett County
